,CH1
Second,Volt
-2.02000e-05,-1.60e-02, 
-2.01000e-05,8.00e-03, 
-2.00000e-05,8.00e-03, 
-1.99000e-05,-1.60e-02, 
-1.98000e-05,8.00e-03, 
-1.97000e-05,-1.60e-02, 
-1.96000e-05,8.00e-03, 
-1.95000e-05,-1.60e-02, 
-1.94000e-05,8.00e-03, 
-1.93000e-05,-1.60e-02, 
-1.92000e-05,-1.60e-02, 
-1.91000e-05,8.00e-03, 
-1.90000e-05,8.00e-03, 
-1.89000e-05,-1.60e-02, 
-1.88000e-05,-1.60e-02, 
-1.87000e-05,8.00e-03, 
-1.86000e-05,8.00e-03, 
-1.85000e-05,-1.60e-02, 
-1.84000e-05,-8.00e-03, 
-1.83000e-05,8.00e-03, 
-1.82000e-05,-1.60e-02, 
-1.81000e-05,8.00e-03, 
-1.80000e-05,8.00e-03, 
-1.79000e-05,-1.60e-02, 
-1.78000e-05,-1.60e-02, 
-1.77000e-05,8.00e-03, 
-1.76000e-05,8.00e-03, 
-1.75000e-05,-1.60e-02, 
-1.74000e-05,8.00e-03, 
-1.73000e-05,-1.60e-02, 
-1.72000e-05,-1.60e-02, 
-1.71000e-05,8.00e-03, 
-1.70000e-05,-1.60e-02, 
-1.69000e-05,8.00e-03, 
-1.68000e-05,8.00e-03, 
-1.67000e-05,-1.60e-02, 
-1.66000e-05,-1.60e-02, 
-1.65000e-05,1.60e-02, 
-1.64000e-05,-1.60e-02, 
-1.63000e-05,8.00e-03, 
-1.62000e-05,4.80e-01, 
-1.61000e-05,-2.88e-01, 
-1.60000e-05,8.00e-03, 
-1.59000e-05,-1.60e-02, 
-1.58000e-05,8.00e-03, 
-1.57000e-05,-1.60e-02, 
-1.56000e-05,-1.60e-02, 
-1.55000e-05,8.00e-03, 
-1.54000e-05,8.00e-03, 
-1.53000e-05,-1.60e-02, 
-1.52000e-05,8.00e-03, 
-1.51000e-05,-1.60e-02, 
-1.50000e-05,8.00e-03, 
-1.49000e-05,-1.60e-02, 
-1.48000e-05,8.00e-03, 
-1.47000e-05,-1.60e-02, 
-1.46000e-05,8.00e-03, 
-1.45000e-05,-1.60e-02, 
-1.44000e-05,8.00e-03, 
-1.43000e-05,-1.60e-02, 
-1.42000e-05,8.00e-03, 
-1.41000e-05,-1.60e-02, 
-1.40000e-05,8.00e-03, 
-1.39000e-05,-1.60e-02, 
-1.38000e-05,8.00e-03, 
-1.37000e-05,-1.60e-02, 
-1.36000e-05,8.00e-03, 
-1.35000e-05,-1.60e-02, 
-1.34000e-05,8.00e-03, 
-1.33000e-05,-1.60e-02, 
-1.32000e-05,8.00e-03, 
-1.31000e-05,-1.60e-02, 
-1.30000e-05,1.60e-02, 
-1.29000e-05,-1.60e-02, 
-1.28000e-05,8.00e-03, 
-1.27000e-05,-1.60e-02, 
-1.26000e-05,8.00e-03, 
-1.25000e-05,-1.60e-02, 
-1.24000e-05,8.00e-03, 
-1.23000e-05,-1.60e-02, 
-1.22000e-05,8.00e-03, 
-1.21000e-05,-1.60e-02, 
-1.20000e-05,8.00e-03, 
-1.19000e-05,-1.60e-02, 
-1.18000e-05,-1.60e-02, 
-1.17000e-05,8.00e-03, 
-1.16000e-05,8.00e-03, 
-1.15000e-05,-1.60e-02, 
-1.14000e-05,8.00e-03, 
-1.13000e-05,-1.60e-02, 
-1.12000e-05,-1.60e-02, 
-1.11000e-05,8.00e-03, 
-1.10000e-05,8.00e-03, 
-1.09000e-05,-1.60e-02, 
-1.08000e-05,8.00e-03, 
-1.07000e-05,-1.60e-02, 
-1.06000e-05,8.00e-03, 
-1.05000e-05,-1.60e-02, 
-1.04000e-05,8.00e-03, 
-1.03000e-05,-1.60e-02, 
-1.02000e-05,8.00e-03, 
-1.01000e-05,-1.60e-02, 
-1.00000e-05,8.00e-03, 
-9.90000e-06,-1.60e-02, 
-9.80000e-06,8.00e-03, 
-9.70000e-06,-1.60e-02, 
-9.60000e-06,8.00e-03, 
-9.50000e-06,-1.60e-02, 
-9.40000e-06,8.00e-03, 
-9.30000e-06,-1.60e-02, 
-9.20000e-06,8.00e-03, 
-9.10000e-06,-1.60e-02, 
-9.00000e-06,-8.00e-03, 
-8.90000e-06,8.00e-03, 
-8.80000e-06,8.00e-03, 
-8.70000e-06,-1.60e-02, 
-8.60000e-06,8.00e-03, 
-8.50000e-06,-1.60e-02, 
-8.40000e-06,-1.60e-02, 
-8.30000e-06,8.00e-03, 
-8.20000e-06,-1.60e-02, 
-8.10000e-06,1.60e-02, 
-8.00000e-06,-1.60e-02, 
-7.90000e-06,8.00e-03, 
-7.80000e-06,8.00e-03, 
-7.70000e-06,-8.00e-03, 
-7.60000e-06,8.00e-03, 
-7.50000e-06,-1.60e-02, 
-7.40000e-06,-1.60e-02, 
-7.30000e-06,8.00e-03, 
-7.20000e-06,-1.60e-02, 
-7.10000e-06,1.60e-02, 
-7.00000e-06,-1.60e-02, 
-6.90000e-06,8.00e-03, 
-6.80000e-06,8.00e-03, 
-6.70000e-06,-1.60e-02, 
-6.60000e-06,8.00e-03, 
-6.50000e-06,-1.60e-02, 
-6.40000e-06,8.00e-03, 
-6.30000e-06,-1.60e-02, 
-6.20000e-06,-1.60e-02, 
-6.10000e-06,1.60e-02, 
-6.00000e-06,-1.60e-02, 
-5.90000e-06,8.00e-03, 
-5.80000e-06,8.00e-03, 
-5.70000e-06,-1.60e-02, 
-5.60000e-06,-1.60e-02, 
-5.50000e-06,8.00e-03, 
-5.40000e-06,8.00e-03, 
-5.30000e-06,-1.60e-02, 
-5.20000e-06,8.00e-03, 
-5.10000e-06,-1.60e-02, 
-5.00000e-06,8.00e-03, 
-4.90000e-06,-1.60e-02, 
-4.80000e-06,8.00e-03, 
-4.70000e-06,-1.60e-02, 
-4.60000e-06,-1.60e-02, 
-4.50000e-06,8.00e-03, 
-4.40000e-06,8.00e-03, 
-4.30000e-06,-1.60e-02, 
-4.20000e-06,-1.60e-02, 
-4.10000e-06,1.60e-02, 
-4.00000e-06,8.00e-03, 
-3.90000e-06,-1.60e-02, 
-3.80000e-06,8.00e-03, 
-3.70000e-06,-1.60e-02, 
-3.60000e-06,8.00e-03, 
-3.50000e-06,-1.60e-02, 
-3.40000e-06,8.00e-03, 
-3.30000e-06,-1.60e-02, 
-3.20000e-06,-1.60e-02, 
-3.10000e-06,1.60e-02, 
-3.00000e-06,1.60e-02, 
-2.90000e-06,-1.60e-02, 
-2.80000e-06,-1.60e-02, 
-2.70000e-06,8.00e-03, 
-2.60000e-06,8.00e-03, 
-2.50000e-06,-1.60e-02, 
-2.40000e-06,8.00e-03, 
-2.30000e-06,-1.60e-02, 
-2.20000e-06,-1.60e-02, 
-2.10000e-06,8.00e-03, 
-2.00000e-06,-1.60e-02, 
-1.90000e-06,1.60e-02, 
-1.80000e-06,-1.60e-02, 
-1.70000e-06,1.60e-02, 
-1.60000e-06,8.00e-03, 
-1.50000e-06,-1.60e-02, 
-1.40000e-06,8.00e-03, 
-1.30000e-06,-1.60e-02, 
-1.20000e-06,8.00e-03, 
-1.10000e-06,-1.60e-02, 
-1.00000e-06,8.00e-03, 
-9.00000e-07,-1.60e-02, 
-8.00000e-07,-1.60e-02, 
-7.00000e-07,8.00e-03, 
-6.00000e-07,8.00e-03, 
-5.00000e-07,-1.60e-02, 
-4.00000e-07,8.00e-03, 
-3.00000e-07,-1.60e-02, 
-2.00000e-07,8.00e-03, 
-1.00000e-07,-2.16e-01, 
0.00000e+00,1.52e-01, 
1.00000e-07,-1.84e-01, 
2.00000e-07,-1.60e-02, 
3.00000e-07,8.00e-03, 
4.00000e-07,8.00e-03, 
5.00000e-07,-1.60e-02, 
6.00000e-07,8.00e-03, 
7.00000e-07,-1.60e-02, 
8.00000e-07,8.00e-03, 
9.00000e-07,-1.60e-02, 
1.00000e-06,-1.60e-02, 
1.10000e-06,8.00e-03, 
1.20000e-06,8.00e-03, 
1.30000e-06,-1.60e-02, 
1.40000e-06,8.00e-03, 
1.50000e-06,-1.60e-02, 
1.60000e-06,-1.60e-02, 
1.70000e-06,8.00e-03, 
1.80000e-06,-1.60e-02, 
1.90000e-06,8.00e-03, 
2.00000e-06,-1.60e-02, 
2.10000e-06,8.00e-03, 
2.20000e-06,8.00e-03, 
2.30000e-06,-1.60e-02, 
2.40000e-06,-1.60e-02, 
2.50000e-06,8.00e-03, 
2.60000e-06,8.00e-03, 
2.70000e-06,-1.60e-02, 
2.80000e-06,-1.60e-02, 
2.90000e-06,8.00e-03, 
3.00000e-06,8.00e-03, 
3.10000e-06,-1.60e-02, 
3.20000e-06,-1.60e-02, 
3.30000e-06,8.00e-03, 
3.40000e-06,8.00e-03, 
3.50000e-06,-1.60e-02, 
3.60000e-06,8.00e-03, 
3.70000e-06,-1.60e-02, 
3.80000e-06,-1.60e-02, 
3.90000e-06,8.00e-03, 
4.00000e-06,8.00e-03, 
4.10000e-06,-1.60e-02, 
4.20000e-06,-1.60e-02, 
4.30000e-06,8.00e-03, 
4.40000e-06,-1.60e-02, 
4.50000e-06,8.00e-03, 
4.60000e-06,-1.60e-02, 
4.70000e-06,8.00e-03, 
